#     1_Threshold      2_Threshold         3_True_P         4_True_N        5_False_P        6_False_N      7_Precision         8_Recall       9_Accuracy      10_Fall_Out   11_Sensitivity     12_F_Measure 
# ===============  ===============  ===============  ===============  ===============  ===============  ===============  ===============  ===============  ===============  ===============  ===============  
             0.00             0.00              496                0              504                0         0.496000         1.000000         0.496000         1.000000         1.000000         0.663102
             0.00             0.01              487                3              501                9         0.492915         0.981855         0.490000         0.994048         0.981855         0.656334
             0.00             0.02              487               20              484                9         0.501545         0.981855         0.507000         0.960317         0.981855         0.663940
             0.00             0.03              487               48              456                9         0.516437         0.981855         0.535000         0.904762         0.981855         0.676859
             0.00             0.04              487               79              425                9         0.533991         0.981855         0.566000         0.843254         0.981855         0.691761
             0.00             0.05              487              110              394                9         0.552781         0.981855         0.597000         0.781746         0.981855         0.707335
             0.00             0.06              487              136              368                9         0.569591         0.981855         0.623000         0.730159         0.981855         0.720947
             0.00             0.07              487              151              353                9         0.579762         0.981855         0.638000         0.700397         0.981855         0.729042
             0.00             0.08              487              174              330                9         0.596083         0.981855         0.661000         0.654762         0.981855         0.741813
             0.00             0.09              487              184              320                9         0.603470         0.981855         0.671000         0.634921         0.981855         0.747506
             0.00             0.10              487              199              305                9         0.614899         0.981855         0.686000         0.605159         0.981855         0.756211
             0.00             0.11              487              218              286                9         0.630013         0.981855         0.705000         0.567460         0.981855         0.767533
             0.00             0.12              487              230              274                9         0.639947         0.981855         0.717000         0.543651         0.981855         0.774861
             0.00             0.13              487              237              267                9         0.645889         0.981855         0.724000         0.529762         0.981855         0.779200
             0.00             0.14              487              255              249                9         0.661685         0.981855         0.742000         0.494048         0.981855         0.790584
             0.00             0.15              487              267              237                9         0.672652         0.981855         0.754000         0.470238         0.981855         0.798361
             0.00             0.16              487              277              227                9         0.682073         0.981855         0.764000         0.450397         0.981855         0.804959
             0.00             0.17              487              282              222                9         0.686883         0.981855         0.769000         0.440476         0.981855         0.808299
             0.00             0.18              487              294              210                9         0.698709         0.981855         0.781000         0.416667         0.981855         0.816429
             0.00             0.19              487              302              202                9         0.706821         0.981855         0.789000         0.400794         0.981855         0.821941
             0.00             0.20              487              309              195                9         0.714076         0.981855         0.796000         0.386905         0.981855         0.826825
             0.00             0.21              487              315              189                9         0.720414         0.981855         0.802000         0.375000         0.981855         0.831058
             0.00             0.22              487              323              181                9         0.729042         0.981855         0.810000         0.359127         0.981855         0.836770
             0.00             0.23              487              331              173                9         0.737879         0.981855         0.818000         0.343254         0.981855         0.842561
             0.00             0.24              487              337              167                9         0.744648         0.981855         0.824000         0.331349         0.981855         0.846957
             0.00             0.25              487              341              163                9         0.749231         0.981855         0.828000         0.323413         0.981855         0.849913
             0.00             0.26              487              345              159                9         0.753870         0.981855         0.832000         0.315476         0.981855         0.852890
             0.00             0.27              487              353              151                9         0.763323         0.981855         0.840000         0.299603         0.981855         0.858907
             0.00             0.28              487              361              143                9         0.773016         0.981855         0.848000         0.283730         0.981855         0.865009
             0.00             0.29              487              368              136                9         0.781701         0.981855         0.855000         0.269841         0.981855         0.870420
