#     1_Threshold      2_Threshold         3_Recall      4_Precision 
# ===============  ===============  ===============  ===============  
             0.00             1.00         0.000000         1.000000
             0.00             0.99         0.290000         1.000000
             0.53             0.99         0.300000         1.000000
             0.71             0.99         0.310000         1.000000
             0.80             0.99         0.320000         1.000000
             0.83             0.99         0.330000         1.000000
             0.86             0.99         0.340000         1.000000
             0.00             0.98         0.360000         1.000000
             0.37             0.98         0.370000         1.000000
             0.51             0.98         0.380000         1.000000
             0.59             0.98         0.390000         1.000000
             0.00             0.97         0.400000         1.000000
             0.37             0.97         0.410000         1.000000
             0.46             0.97         0.420000         1.000000
             0.51             0.97         0.430000         1.000000
             0.00             0.96         0.440000         1.000000
             0.24             0.96         0.450000         1.000000
             0.00             0.95         0.460000         1.000000
             0.14             0.95         0.470000         1.000000
             0.00             0.94         0.480000         1.000000
             0.00             0.93         0.490000         1.000000
             0.04             0.93         0.500000         1.000000
             0.14             0.93         0.510000         1.000000
             0.27             0.93         0.520000         1.000000
             0.00             0.92         0.530000         1.000000
             0.06             0.92         0.540000         1.000000
             0.00             0.91         0.550000         1.000000
             0.05             0.91         0.560000         1.000000
             0.14             0.91         0.570000         1.000000
             0.00             0.90         0.580000         1.000000
             0.25             0.91         0.590000         1.000000
             0.29             0.91         0.600000         1.000000
             0.00             0.89         0.610000         1.000000
             0.39             0.91         0.620000         1.000000
             0.40             0.91         0.630000         1.000000
             0.00             0.88         0.640000         1.000000
             0.00             0.87         0.650000         1.000000
             0.43             0.90         0.660000         0.996970
             0.96             0.99         0.670000         0.997006
             0.00             0.86         0.680000         1.000000
             0.02             0.86         0.690000         1.000000
             0.61             0.92         0.700000         0.994302
             0.00             0.85         0.710000         1.000000
             0.00             0.84         0.720000         1.000000
             0.00             0.83         0.730000         1.000000
             0.11             0.83         0.740000         0.994595
             0.00             0.82         0.750000         1.000000
             0.00             0.81         0.760000         1.000000
             0.00             0.80         0.770000         1.000000
             0.07             0.80         0.780000         0.994832
             0.00             0.79         0.790000         0.997442
             0.08             0.79         0.800000         0.992481
             0.00             0.78         0.810000         0.997519
             0.08             0.78         0.820000         0.992647
             0.00             0.77         0.830000         0.997567
             0.00             0.76         0.840000         0.997619
             0.00             0.75         0.850000         0.997630
             0.00             0.74         0.860000         0.995349
             0.04             0.73         0.870000         0.990826
             0.00             0.71         0.880000         0.990950
             0.00             0.70         0.890000         0.990971
             0.02             0.67         0.900000         0.986784
             0.02             0.66         0.910000         0.986928
             0.02             0.65         0.920000         0.987041
             0.00             0.64         0.930000         0.978678
             0.00             0.60         0.940000         0.962887
             0.00             0.59         0.950000         0.961145
             0.00             0.56         0.960000         0.951807
             0.00             0.55         0.970000         0.948515
             0.00             0.50         0.980000         0.927203
             0.00             0.00         1.000000         0.496000
