#     1_Threshold      2_Threshold       3_Fall_Out    4_Sensitivity 
# ===============  ===============  ===============  ===============  
             0.00             0.74         0.000000         0.862903
             0.02             0.65         0.010000         0.921371
             0.00             0.62         0.020000         0.931452
             0.00             0.61         0.030000         0.933468
             0.00             0.58         0.040000         0.947581
             0.00             0.55         0.050000         0.965726
             0.00             0.53         0.060000         0.971774
             0.00             0.51         0.070000         0.973790
             0.00             0.49         0.080000         0.977823
             0.00             0.47         0.090000         0.981855
             0.02             0.50         0.100000         0.979839
             0.00             0.45         0.110000         0.981855
             0.00             0.43         0.120000         0.981855
             0.00             0.41         0.130000         0.981855
             0.01             0.43         0.140000         0.981855
             0.00             0.40         0.150000         0.981855
             0.00             0.39         0.160000         0.981855
             0.00             0.38         0.170000         0.981855
             0.01             0.40         0.180000         0.981855
             0.00             0.36         0.190000         0.981855
             0.00             0.35         0.200000         0.981855
             0.00             0.34         0.210000         0.981855
             0.00             0.33         0.220000         0.981855
             0.01             0.36         0.230000         0.981855
             0.00             0.32         0.240000         0.981855
             0.01             0.34         0.250000         0.981855
             0.00             0.31         0.260000         0.981855
             0.00             0.29         0.270000         0.981855
             0.00             0.28         0.280000         0.981855
             0.01             0.31         0.290000         0.981855
             0.00             0.27         0.300000         0.981855
             0.01             0.30         0.310000         0.981855
             0.00             0.25         0.320000         0.981855
             0.00             0.24         0.330000         0.981855
             0.00             0.23         0.340000         0.981855
             0.03             0.31         0.350000         0.981855
             0.00             0.22         0.360000         0.981855
             0.01             0.25         0.370000         0.981855
             0.00             0.21         0.380000         0.981855
             0.00             0.20         0.390000         0.981855
             0.00             0.19         0.400000         0.981855
             0.01             0.22         0.410000         0.981855
             0.00             0.18         0.420000         0.981855
             0.01             0.21         0.430000         0.981855
             0.00             0.17         0.440000         0.981855
             0.00             0.16         0.450000         0.981855
             0.01             0.19         0.460000         0.981855
             0.00             0.15         0.470000         0.981855
             0.01             0.18         0.480000         0.981855
             0.00             0.14         0.490000         0.981855
             0.01             0.17         0.500000         0.981855
             0.03             0.21         0.510000         0.981855
             0.04             0.22         0.520000         0.981855
             0.00             0.13         0.530000         0.981855
             0.00             0.12         0.540000         0.981855
             0.02             0.17         0.550000         0.981855
             0.01             0.14         0.560000         0.981855
             0.00             0.11         0.570000         0.981855
             0.03             0.18         0.580000         0.981855
             0.09             0.27         0.590000         0.981855
             0.01             0.13         0.600000         0.981855
             0.00             0.10         0.610000         0.981855
             0.03             0.16         0.620000         0.981855
             0.00             0.09         0.630000         0.981855
             0.03             0.15         0.640000         0.981855
             0.00             0.08         0.650000         0.981855
             0.01             0.11         0.660000         0.981855
             0.03             0.14         0.670000         0.981855
             0.02             0.12         0.680000         0.981855
             0.01             0.10         0.690000         0.981855
             0.00             0.07         0.700000         0.981855
             0.01             0.09         0.710000         0.981855
             0.02             0.10         0.720000         0.981855
             0.00             0.06         0.730000         0.981855
             0.03             0.11         0.740000         0.981855
             0.04             0.12         0.750000         0.981855
             0.05             0.13         0.760000         0.981855
             0.02             0.09         0.770000         0.981855
             0.00             0.05         0.780000         0.981855
             0.10             0.17         0.790000         0.981855
             0.02             0.08         0.800000         0.981855
             0.11             0.17         0.810000         0.981855
             0.03             0.09         0.820000         0.981855
             0.04             0.10         0.830000         0.981855
             0.00             0.04         0.840000         0.981855
             0.02             0.07         0.850000         0.981855
             0.03             0.08         0.860000         0.981855
             0.05             0.10         0.870000         0.981855
             0.04             0.09         0.880000         0.981855
             0.01             0.05         0.890000         0.981855
             0.00             0.03         0.900000         0.981855
             0.04             0.08         0.910000         0.981855
             0.06             0.09         0.920000         0.981855
             0.05             0.08         0.930000         0.981855
             0.01             0.04         0.940000         0.981855
             0.02             0.05         0.950000         0.981855
             0.00             0.02         0.960000         0.981855
             0.02             0.04         0.970000         0.981855
             0.01             0.03         0.980000         0.981855
             0.00             0.01         0.990000         0.981855
             0.00             0.00         1.000000         1.000000
